applicationNumber,sendNumber,attachmentfileContent_raw,citations,kr_citations,has_29_1
1020140179773,952015064531348,첨부1 공개특허공보 제10-2008-0027504호(2008.03.28.: 인용발명 1) 1부.첨부2 일본 공표특허공보 특표2000-516390호(2000.12.05.: 인용발명 2) 1부.첨부3 등록특허공보 제10-1279416호(2013.06.27.: 인용발명 3) 1부.첨부4 공개특허공보 제10-2014-0128845호(2014.11.06.: 인용발명 4) 1부.첨부5 모범명세서 1부. 첨부6 모범명세서 작성방법 1부. 첨부7 알기쉬운 보정매뉴얼 1부. 끝.,"[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2008-0027504호', '날짜': '2008.03.28.', '국내': True}, {'인용발명번호': '2', '식별자': '일본 공표특허공보 특표2000-516390호', '날짜': '2000.12.05.', '국내': False}, {'인용발명번호': '3', '식별자': '등록특허공보 제10-1279416호', '날짜': '2013.06.27.', '국내': True}, {'인용발명번호': '4', '식별자': '공개특허공보 제10-2014-0128845호', '날짜': '2014.11.06.', '국내': True}]","[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2008-0027504호', '날짜': '2008.03.28.', '국내': True}, {'인용발명번호': '3', '식별자': '등록특허공보 제10-1279416호', '날짜': '2013.06.27.', '국내': True}, {'인용발명번호': '4', '식별자': '공개특허공보 제10-2014-0128845호', '날짜': '2014.11.06.', '국내': True}]",
1020140179773,952016042286690,첨부1 공개특허공보 제10-2012-0074421호(2012.07.06.: 인용발명 1) 1부.첨부2 공개특허공보 제10-2008-0027504호(2008.03.28.: 인용발명 2) 1부.첨부3 등록특허공보 제10-1279416호(2013.06.27.: 인용발명 3) 1부.첨부4 일본 공표특허공보 특표2000-516390호(2000.12.05.: 인용발명 4) 1부.첨부5 공개특허공보 제10-2014-0128845호(2014.11.06.: 인용발명 5) 1부.첨부6 알기쉬운 보정매뉴얼 1부. 끝.,"[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2012-0074421호', '날짜': '2012.07.06.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2008-0027504호', '날짜': '2008.03.28.', '국내': True}, {'인용발명번호': '3', '식별자': '등록특허공보 제10-1279416호', '날짜': '2013.06.27.', '국내': True}, {'인용발명번호': '4', '식별자': '일본 공표특허공보 특표2000-516390호', '날짜': '2000.12.05.', '국내': False}, {'인용발명번호': '5', '식별자': '공개특허공보 제10-2014-0128845호', '날짜': '2014.11.06.', '국내': True}]","[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2012-0074421호', '날짜': '2012.07.06.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2008-0027504호', '날짜': '2008.03.28.', '국내': True}, {'인용발명번호': '3', '식별자': '등록특허공보 제10-1279416호', '날짜': '2013.06.27.', '국내': True}, {'인용발명번호': '5', '식별자': '공개특허공보 제10-2014-0128845호', '날짜': '2014.11.06.', '국내': True}]",
1020140179773,952016094343556,첨부1 공개특허공보 제10-2012-0074421호(2012.07.06.: 인용발명 1) 1부.첨부2 공개특허공보 제10-2008-0027504호(2008.03.28.: 인용발명 2) 1부.첨부3 등록특허공보 제10-0966233호(2010.06.25.: 인용발명 3) 1부.첨부4 등록특허공보 제10-1279416호(2013.06.27.: 인용발명 4) 1부.첨부5 일본 공표특허공보 특표2000-516390호(2000.12.05.: 인용발명 5) 1부.첨부6 알기쉬운 보정매뉴얼 1부. 끝.,"[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2012-0074421호', '날짜': '2012.07.06.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2008-0027504호', '날짜': '2008.03.28.', '국내': True}, {'인용발명번호': '3', '식별자': '등록특허공보 제10-0966233호', '날짜': '2010.06.25.', '국내': True}, {'인용발명번호': '4', '식별자': '등록특허공보 제10-1279416호', '날짜': '2013.06.27.', '국내': True}, {'인용발명번호': '5', '식별자': '일본 공표특허공보 특표2000-516390호', '날짜': '2000.12.05.', '국내': False}]","[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2012-0074421호', '날짜': '2012.07.06.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2008-0027504호', '날짜': '2008.03.28.', '국내': True}, {'인용발명번호': '3', '식별자': '등록특허공보 제10-0966233호', '날짜': '2010.06.25.', '국내': True}, {'인용발명번호': '4', '식별자': '등록특허공보 제10-1279416호', '날짜': '2013.06.27.', '국내': True}]",
1020150011386,952015083510122,첨부1 일본 공개특허공보 특개평05-193366호(1993.08.03.: 인용발명 1) 1부.첨부2 공개특허공보 제10-2015-0000090호(2015.01.02.: 인용발명 2) 1부.첨부3 공개특허공보 제10-2013-0010735호(2013.01.29.: 인용발명 3) 1부.첨부4 일본 공개특허공보 특개2004-227926호(2004.08.12.: 인용발명 4) 1부.첨부5 일본 공개특허공보 특개2011-071097호(2011.04.07.: 인용발명 5) 1부. 끝.,"[{'인용발명번호': '1', '식별자': '일본 공개특허공보 특개평05-193366호', '날짜': '1993.08.03.', '국내': False}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2015-0000090호', '날짜': '2015.01.02.', '국내': True}, {'인용발명번호': '3', '식별자': '공개특허공보 제10-2013-0010735호', '날짜': '2013.01.29.', '국내': True}, {'인용발명번호': '4', '식별자': '일본 공개특허공보 특개2004-227926호', '날짜': '2004.08.12.', '국내': False}, {'인용발명번호': '5', '식별자': '일본 공개특허공보 특개2011-071097호', '날짜': '2011.04.07.', '국내': False}]","[{'인용발명번호': '2', '식별자': '공개특허공보 제10-2015-0000090호', '날짜': '2015.01.02.', '국내': True}, {'인용발명번호': '3', '식별자': '공개특허공보 제10-2013-0010735호', '날짜': '2013.01.29.', '국내': True}]",
1020140179772,952015072641484,첨부1 공개특허공보 제10-2014-0084619호(2014.07.07.: 인용발명 1) 1부.첨부2 공개특허공보 제10-2014-0141825호(2014.12.11.: 인용발명 2) 1부.첨부3 일본 공개특허공보 특개2010-140802호(2010.06.24.: 인용발명 3) 1부.첨부4 공개특허공보 제10-2008-0027504호(2008.03.28.: 인용발명 4) 1부.첨부5 등록특허공보 제10-1279416호(2013.06.27.: 인용발명 5) 1부.첨부6 공개특허공보 제10-2014-0128845호(2014.11.06.: 인용발명 6) 1부.첨부7 모범명세서 1부. 첨부8 모범명세서 작성방법 1부. 첨부9 알기쉬운 보정매뉴얼 1부. 끝.,"[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2014-0084619호', '날짜': '2014.07.07.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2014-0141825호', '날짜': '2014.12.11.', '국내': True}, {'인용발명번호': '3', '식별자': '일본 공개특허공보 특개2010-140802호', '날짜': '2010.06.24.', '국내': False}, {'인용발명번호': '4', '식별자': '공개특허공보 제10-2008-0027504호', '날짜': '2008.03.28.', '국내': True}, {'인용발명번호': '5', '식별자': '등록특허공보 제10-1279416호', '날짜': '2013.06.27.', '국내': True}, {'인용발명번호': '6', '식별자': '공개특허공보 제10-2014-0128845호', '날짜': '2014.11.06.', '국내': True}]","[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2014-0084619호', '날짜': '2014.07.07.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2014-0141825호', '날짜': '2014.12.11.', '국내': True}, {'인용발명번호': '4', '식별자': '공개특허공보 제10-2008-0027504호', '날짜': '2008.03.28.', '국내': True}, {'인용발명번호': '5', '식별자': '등록특허공보 제10-1279416호', '날짜': '2013.06.27.', '국내': True}, {'인용발명번호': '6', '식별자': '공개특허공보 제10-2014-0128845호', '날짜': '2014.11.06.', '국내': True}]",
1020130023348,952015059376462,첨부1 공개특허공보 제10-2012-0139590호(2012.12.27.: 인용발명 1) 1부.첨부2 공개특허공보 제10-2004-0110334호(2004.12.31.: 인용발명 2) 1부. 끝.,"[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2012-0139590호', '날짜': '2012.12.27.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2004-0110334호', '날짜': '2004.12.31.', '국내': True}]","[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2012-0139590호', '날짜': '2012.12.27.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2004-0110334호', '날짜': '2004.12.31.', '국내': True}]",
1020110130738,952015080546432,첨부1 국제공개공보 WO2011/148641(2011.12.01.: 인용발명 1) 1부.첨부2 일본 공개특허공보 특개2005-222701호(2005.08.18.: 인용발명 2) 1부.첨부3 공개특허공보 제10-2001-0008762호(2001.02.05.: 인용발명 3) 1부.첨부4 공개특허공보 제10-2006-0134549호(2006.12.28.: 인용발명 4) 1부. 끝.,"[{'인용발명번호': '1', '식별자': '국제공개공보 WO2011/148641', '날짜': '2011.12.01.', '국내': False}, {'인용발명번호': '2', '식별자': '일본 공개특허공보 특개2005-222701호', '날짜': '2005.08.18.', '국내': False}, {'인용발명번호': '3', '식별자': '공개특허공보 제10-2001-0008762호', '날짜': '2001.02.05.', '국내': True}, {'인용발명번호': '4', '식별자': '공개특허공보 제10-2006-0134549호', '날짜': '2006.12.28.', '국내': True}]","[{'인용발명번호': '3', '식별자': '공개특허공보 제10-2001-0008762호', '날짜': '2001.02.05.', '국내': True}, {'인용발명번호': '4', '식별자': '공개특허공보 제10-2006-0134549호', '날짜': '2006.12.28.', '국내': True}]",
1020130129859,952014075024010,첨부1 공개특허공보 제10-2012-0139590호(2012.12.27.: 인용발명 1) 1부.첨부2 공개특허공보 제10-2013-0030199호(2013.03.26.: 인용발명 2) 1부. 끝.,"[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2012-0139590호', '날짜': '2012.12.27.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2013-0030199호', '날짜': '2013.03.26.', '국내': True}]","[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2012-0139590호', '날짜': '2012.12.27.', '국내': True}, {'인용발명번호': '2', '식별자': '공개특허공보 제10-2013-0030199호', '날짜': '2013.03.26.', '국내': True}]",
1020150066731,952017050645666,첨부1 공개특허공보 제10-2008-0081963호(2008.09.10.: 인용발명 1) 1부.첨부2 국제공개공보 WO2014/208423(2014.12.31.: 인용발명 2) 1부. 끝.,"[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2008-0081963호', '날짜': '2008.09.10.', '국내': True}, {'인용발명번호': '2', '식별자': '국제공개공보 WO2014/208423', '날짜': '2014.12.31.', '국내': False}]","[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2008-0081963호', '날짜': '2008.09.10.', '국내': True}]",
1020120047665,952014037800223,첨부1 공개특허공보 제10-2011-0028200호(2011.03.17.: 인용발명 1) 1부.첨부2 일본 특허공보 특허 제3873379호(2007.01.24.: 인용발명 2) 1부.첨부3 공개특허공보 제10-2004-0066412호(2004.07.27.: 인용발명 3) 1부.첨부4 공개특허공보 제10-2011-0121554호(2011.11.07.: 인용발명 4) 1부. 끝.,"[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2011-0028200호', '날짜': '2011.03.17.', '국내': True}, {'인용발명번호': '2', '식별자': '일본 특허공보 특허 제3873379호', '날짜': '2007.01.24.', '국내': False}, {'인용발명번호': '3', '식별자': '공개특허공보 제10-2004-0066412호', '날짜': '2004.07.27.', '국내': True}, {'인용발명번호': '4', '식별자': '공개특허공보 제10-2011-0121554호', '날짜': '2011.11.07.', '국내': True}]","[{'인용발명번호': '1', '식별자': '공개특허공보 제10-2011-0028200호', '날짜': '2011.03.17.', '국내': True}, {'인용발명번호': '3', '식별자': '공개특허공보 제10-2004-0066412호', '날짜': '2004.07.27.', '국내': True}, {'인용발명번호': '4', '식별자': '공개특허공보 제10-2011-0121554호', '날짜': '2011.11.07.', '국내': True}]",
